time,bkgd_a,bkgd_b,bkgd_c
1502041980,1670,88064,98962.7849549684
1502045580,1830,79872,98976.0571251714
1502045700,1830,79872,98980.5778368242
1502049180,1940,74752,98985.098548477
1502052780,2060,66560,98965.6000824611
1502056380,2060,64512,98936.3145428825
1502059980,2060,66560,98907.0290033039
1502063580,2000,69632,98902.1496955009
1502067180,1890,74752,98902.913335567
1502070780,1780,79872,98893.8484027573
1502073660,1720,82944,98910.8800330082
1502074380,1720,82944,98927.9116632592
1502077980,1670,86016,98943.2675927842
1502081580,1610,92160,98987.0450593596
1502085180,1670,88064,99011.5783604289
1502088780,1670,88064,99011.5783604289
1502092380,1670,88064,98992.0609982447
1502095980,1670,86016,98953.0262738763
1502099580,1670,88064,98913.9915495079
1502103180,1670,88064,98894.4741873237
1502106780,1670,88064,98894.4741873237
1502110380,1610,92160,98918.7377530292
1502113980,1610,89088,98977.2868727409
1502117580,1670,88064,99021.337041521
1502121180,1670,86016,99060.3717658894
1502124780,1720,82944,99084.0571290392
1502126400,1720,82944,99093.8162206504
1502128380,1720,82944,99103.5753122617
1502131980,1780,79872,99118.3187978292
1502135580,1940,72704,99131.5117698779
1502136840,1940,72704,99111.9900070245
1502139180,1940,72704,99092.468244171
1502142780,2060,66560,99063.2185477229
1502146380,2060,66560,99033.9330081444
1502149980,1940,72704,99014.3811927572
1502153580,1890,74752,98990.7576284734
1502156580,1830,79872,98993.167366678
1502157180,1830,79872,98995.5771048825
1502160060,1720,86016,99005.6602963215
1502160780,1720,89088,99015.7434877604
1502164380,1670,92160,99050.6130847973
1502167980,1670,88064,99089.6478091657
1502171580,1610,92160,99074.8687389272
1502175180,1610,95232,99045.5941790713
1502175840,1610,95232,99035.8359924527
1502178060,1610,92160,99026.0778058341
1502178780,1610,92160,99016.3196192155
1502182380,1610,92160,99016.3196192155
1502185440,1560,92160,98999.5845005574
1502185980,1560,95232,98982.8493818993
1502189580,1500,98304,98997.3101345048
1502193180,1500,98304,98977.7955849021
1502196780,1500,98304,98987.5528597034
1502200380,1500,95232,99016.8246841075
1502203980,1500,95232,99055.8537833129
1502207580,1560,95232,99090.1848849751
1502211180,1610,92160,99084.6269255458
1502214780,1670,88064,99099.4064902578
1502215980,1720,86016,99094.2232704518
1502218380,1780,86016,99089.0400506459
1502221980,1890,76800,99068.8414443902
1502222940,1890,79872,99056.2526407138
1502225580,1940,77824,99043.6638370374
1502229180,2000,74752,98999.7633450228
1502232780,1940,74752,98975.3376670503
1502236380,1890,76800,98932.1947665358
1502239980,1830,79872,98917.4971860381
1502241480,1720,86016,98927.4747395193
1502243460,1700,84992,98937.4522930005
1502243580,1720,86016,98947.4298464817
1502247060,1600,96256,98942.841986374
1502247180,1610,95232,98938.2541262664
1502250780,1610,95232,98957.7704995037
1502254380,1560,95232,99002.3649279131
1502257980,1560,95232,99002.3649279131
1502261580,1560,95232,98992.6071549062
1502265180,1500,102400,98997.3101345048
1502268780,1500,98304,98977.7955849021
1502272380,1500,98304,98948.5237604981
1502275980,1440,99328,98923.9370844028
1502279580,1440,102400,98923.9370844028
1502283180,1440,102400,98914.1803098605
1502286780,1440,99328,98953.2074080297
1502290380,1440,102400,98992.2345061989
1502293980,1500,98304,99026.5819589089
1502297580,1500,98304,99046.0965085116
1502301180,1560,95232,99109.7004309889
1502304780,1610,92160,99104.1432987831
1502308380,1670,88064,99118.923852442
1502310720,1670,88064,99106.3700365462
1502311980,1720,86016,99093.8162206505
1502315580,1830,79872,99054.1370440158
1502319180,1780,79872,99020.7229738849
1502322780,1830,79872,98995.5771048825
1502326380,1720,86016,98996.225304538
1502329980,1670,88064,98982.3023171526
1502333580,1670,88064,99011.5783604289
1502337180,1610,92160,99035.8359924527
1502340780,1610,92160,99065.1105523086
1502344380,1610,92160,99094.3851121645
1502345880,1560,95232,99082.5272255629
1502347980,1560,95232,99070.6693389613
1502351580,1560,95232,99041.3960199406
1502355180,1560,95232,98992.6071549062
1502358780,1560,95232,99002.3649279131
1502362380,1500,98304,98987.5528597034
1502365980,1500,95232,98968.0383101008
1502369580,1500,95232,99007.0674093062
1502373180,1500,98304,99036.3392337102
1502376780,1500,95232,99055.8537833129
1502380380,1500,95232,99055.8537833129
1502383980,1560,95232,99090.1848849751
1502387580,1610,92160,99113.9014854017
1502388480,1610,89088,99113.6179446373
1502391180,1720,86016,99113.334403873
1502394660,1800,78848,99101.1872272594
1502394780,1780,79872,99089.0400506459
1502398380,1830,79872,99073.657023727
1502401980,1940,74752,99024.1420741839
1502405580,1940,74752,98994.8594299037
1502409060,1900,74752,98987.9282906938
1502409180,1890,76800,98980.9971514838
1502412780,1830,79872,98956.5371454603
1502416380,1670,88064,98962.7849549684
1502417100,1670,88064,98966.2205062764
1502418900,1610,89088,98969.6560575844
1502419980,1560,95232,98973.0916088924
1502423580,1560,95232,98973.0916088924
1502427180,1560,95232,98992.6071549062
1502430780,1560,95232,99041.3960199406
1502434380,1500,98304,99036.3392337102
1502437980,1500,98304,99026.5819589089
1502441580,1500,98304,99007.0674093062
1502445180,1500,98304,98987.5528597034
1502448780,1440,102400,98953.2074080297
1502452380,1440,102400,98943.4506334874
1502455980,1440,99328,98962.964182572
1502459580,1440,99328,98972.7209571143
1502463180,1440,99328,99021.5048298258
1502466780,1500,95232,99026.5819589089
1502470380,1500,95232,99046.0965085116
1502473980,1610,89088,99074.8687389272
1502477460,1700,84992,99064.8242965663
1502477580,1720,86016,99054.7798542054
1502481180,1890,76800,98990.7576284734
1502484780,2000,74752,98960.717885214
1502488380,2000,71680,98931.4337903575
1502491980,1940,74752,98897.2506156364
1502495580,1890,76800,98854.1109506191
1502499180,1890,76800,98824.8295196503
1502502780,1780,82944,98786.4929964185
1502506380,1670,88064,98796.8873764027
1502509980,1610,92160,98830.9140734615
1502513580,1560,95232,98846.2405598028
1502515080,1610,95232,98846.2405598028
1502517180,1560,95232,98846.2405598028
1502519880,1560,95232,98836.4827867959
1502520780,1560,95232,98826.725013789
1502524380,1560,95232,98846.2405598028
1502527980,1560,95232,98826.725013789
1502530980,1560,95232,98826.725013789
1502531580,1560,95232,98826.725013789
1502535180,1500,95232,98821.6791880805
1502538780,1440,95232,98826.3693389798
1502542380,1440,95232,98855.6396626067
