id,time,feature_01,feature_02,feature_03,feature_04,feature_05,feature_06,feature_07,feature_08,feature_09,feature_10,feature_11,label_01,label_02,label_03,label_04,label_05,label_06,label_07
12678,1512755050,1217536,103192,1536,54342,0,-2,63,1344,13982,-20590,1,0,0,0,0,0,0,0
9474,1512755051,2497536,103162,1466,59936,-1,1,62,9206,10134,-15958,0,0,0,0,0,0,0,0
12678,1512755054,2863104,103200,1537,54350,-1,-2,63,1466,14050,-20640,0,0,0,0,0,0,0,0
12678,1512755054,3002368,103200,1537,54524,0,-2,63,1446,13876,-20467,0,0,0,0,0,0,0,0
12678,1512755055,3003392,103198,1538,54800,0,-2,62,1388,13908,-20501,1,0,0,0,0,0,0,0
12678,1512755056,3004416,103195,1541,55255,0,-2,63,1460,13942,-20645,1,0,0,0,0,0,0,0
12678,1512755057,3003392,103198,1544,55205,0,-3,63,1460,14054,-20458,0,0,0,0,0,0,0,0
12678,1512755058,2995200,103201,1547,54944,-1,-2,63,1482,13982,-20269,0,0,0,0,0,0,0,0
12678,1512755059,2995200,103202,1550,54740,-1,-2,63,1394,14016,-20650,0,0,0,0,0,0,0,0
12678,1512755061,2991104,103202,1552,54589,0,-2,62,1462,14056,-20648,0,0,0,0,0,1,0,0
12678,1512755062,1339392,103199,1553,54460,0,-2,63,1462,14084,-20523,1,0,0,0,0,1,0,0
12678,1512755063,1323520,103194,1548,54460,0,-1,63,1450,13996,-20534,0,0,0,0,0,1,0,0
12678,1512755064,1323520,103191,1545,54460,0,-3,64,1430,13912,-20416,1,0,0,0,0,1,0,0
12678,1512755065,1257472,103196,1544,54445,1,-2,63,1540,13902,-20431,1,0,0,0,0,1,0,0
12678,1512755066,2826240,103190,1541,54456,1,-2,63,1540,13902,-20431,1,0,0,0,0,0,0,0
12678,1512755068,2979840,103201,1545,54433,1,-2,62,1422,13822,-20494,0,0,0,0,0,0,0,0
12678,1512755068,2975744,103201,1547,54437,-1,-3,63,1438,14010,-20515,0,0,0,0,0,0,0,0
12678,1512755069,2974720,103201,1547,54437,0,-3,64,1450,14050,-20574,1,0,0,0,0,0,0,0
12678,1512755070,2974720,103204,1550,54441,1,-3,63,1436,14022,-20467,1,0,0,0,0,0,0,0
12678,1512755072,2974720,103199,1553,54539,1,-1,61,1442,14070,-20606,0,0,0,0,0,0,0,0
12678,1512755072,2973696,103202,1556,54695,1,-2,63,1412,14012,-20676,0,0,0,0,0,0,0,0
12678,1512755073,2970624,103205,1559,54679,1,-2,62,1496,13946,-20271,0,0,0,0,0,0,0,0
12678,1512755074,2964480,103205,1559,54619,0,-3,62,1472,14044,-20492,0,0,0,0,0,0,0,0
12678,1512755075,1396224,103197,1560,54573,0,-3,63,1428,14002,-20606,0,1,0,0,0,0,0,0
12678,1512755076,1388032,103189,1552,54562,0,-3,62,1408,13974,-20651,1,1,0,0,0,0,0,0
12678,1512755077,1388544,103199,1549,54547,1,-2,61,1356,14022,-20578,0,1,0,0,0,0,0,0
12678,1512755078,1390080,103190,1543,54509,1,-2,61,1406,14052,-20631,1,1,0,0,0,0,0,0
12678,1512755082,1391104,103196,1541,54479,0,-3,62,1406,14052,-20631,0,1,0,0,0,0,0,0
12678,1512755082,1391104,103189,1531,54653,1,-2,63,1484,13956,-20592,0,1,0,0,0,0,0,0
12678,1512755083,1392128,103194,1528,54683,0,-2,63,1444,13968,-20647,0,1,0,0,0,0,0,0
12678,1512755084,1385472,103197,1526,54698,2,-4,63,1464,14016,-20442,0,1,0,0,0,0,0,0
12678,1512755085,1385472,103193,1522,54695,1,-2,62,1330,13932,-20455,1,0,0,0,0,0,0,0
12678,1512755086,1260032,103204,1523,54645,0,-2,62,1428,14060,-20552,0,0,0,0,0,0,0,0
12678,1512755087,2979840,103200,1531,54608,1,-2,63,1430,14094,-20549,1,0,0,0,0,0,0,0
12678,1512755088,3032064,103198,1536,54558,0,-2,62,1432,14062,-20619,0,0,0,0,0,0,0,0
12678,1512755089,3033088,103211,1539,54517,0,-3,63,1464,14062,-20405,1,0,0,0,0,0,0,0
12678,1512755090,3037184,103211,1539,54517,-1,-1,62,1398,14110,-20557,1,0,0,0,0,0,0,0
12678,1512755091,3037184,103201,1541,54505,0,-1,63,1498,13998,-20630,0,0,0,0,0,0,0,0
12678,1512755092,3040256,103206,1543,54498,0,-1,63,1498,13998,-20630,0,0,0,0,0,0,0,0
12678,1512755093,3043328,103204,1546,54498,0,-3,63,1498,14094,-20663,0,0,0,0,0,0,0,0
12678,1512755094,3043328,103202,1551,54536,-2,-1,63,1468,14084,-20538,0,0,0,0,0,0,0,0
12678,1512755095,3045376,103199,1553,54581,0,-2,62,1488,13994,-20228,0,0,0,0,0,0,0,0
12678,1512755096,3036160,103199,1553,54543,0,-2,63,1492,14102,-20572,0,0,1,0,0,0,0,0
12678,1512755097,2873344,103207,1553,54263,0,-3,64,1440,14046,-20503,1,0,1,0,0,0,0,0
12678,1512755098,1413120,103199,1550,54520,1,-2,62,1490,13978,-20455,1,0,1,0,0,0,0,0
12678,1512755099,1421312,103193,1547,54517,0,-3,62,1442,13998,-20395,0,0,1,0,0,0,0,0
12678,1512755100,1421824,103196,1544,54513,0,-1,63,1442,14030,-20702,1,0,1,0,0,0,0,0
12678,1512755101,1422848,103193,1542,54501,1,-3,64,1476,14006,-20424,1,0,1,0,0,0,0,0
12678,1512755102,1422848,103195,1538,54490,0,-1,63,1498,13952,-20371,0,0,1,0,0,0,0,0
12678,1512755103,1422848,103192,1536,54509,0,-3,63,1500,13978,-20498,0,0,1,0,0,0,0,0
12678,1512755104,1424384,103194,1528,54524,-1,-3,63,1442,14062,-20398,1,0,1,0,0,0,0,0
12678,1512755106,1373696,103188,1526,54592,0,-2,63,1492,14026,-20556,0,0,0,0,0,0,0,0
12678,1512755107,3075072,103194,1531,54604,0,-3,62,1454,13882,-20418,1,0,0,0,0,0,0,0
12678,1512755108,3075072,103203,1536,54608,0,-3,62,1430,13862,-20492,1,0,0,0,0,0,0,0
12678,1512755109,3095552,103198,1538,54573,0,-2,63,1490,14028,-20498,0,0,0,0,0,0,0,0
9474,1512755109,2608128,103154,1499,59862,-1,1,63,9142,10196,-15839,1,0,0,0,0,0,0,0
12678,1512755113,3104768,103206,1540,54524,0,-3,63,1440,14052,-20537,1,0,0,0,0,0,0,0
12678,1512755114,3137536,103202,1555,54452,0,-2,62,1454,13948,-20434,0,0,0,0,0,0,0,0
12678,1512755115,3141632,103200,1558,54467,-1,-2,62,1498,13966,-20520,0,0,0,0,0,0,0,0
12678,1512755117,1474560,103194,1556,54475,1,-2,63,1378,13974,-20510,1,0,0,1,0,0,0,0
12678,1512755117,1307136,103191,1550,54490,0,-3,62,1428,13978,-20385,1,0,0,1,0,0,0,0
12678,1512755118,1306112,103196,1548,54475,0,-3,62,1428,13978,-20385,0,0,0,1,0,0,0,0
12678,1512755119,1307136,103199,1546,54475,0,-4,63,1452,13894,-20499,1,0,0,1,0,0,0,0
12678,1512755120,1308160,103193,1541,54464,0,-2,64,1408,13938,-20337,1,0,0,1,0,0,0,0
12678,1512755121,1308160,103193,1540,54467,1,-3,62,1374,14006,-20527,0,0,0,1,0,0,0,0
12678,1512755122,1307648,103189,1533,54449,1,-3,63,1418,13914,-20318,0,0,0,1,0,0,0,0
12678,1512755123,1308672,103192,1533,54441,-1,-2,62,1408,13950,-20544,0,0,0,1,0,0,0,0
12678,1512755124,1308672,103191,1528,54441,0,-2,63,1406,13872,-20556,0,0,0,1,0,0,0,0
12678,1512755126,1288192,103199,1527,54456,0,-1,62,1418,13996,-20406,0,0,0,0,0,0,0,0
12678,1512755126,1190400,103193,1523,54460,0,-2,63,1464,14030,-20492,1,0,0,0,0,0,0,0
12678,1512755127,3151872,103194,1528,54422,0,-1,62,1502,14062,-20434,1,0,0,0,0,0,0,0
12678,1512755128,3204096,103200,1532,54396,1,-4,63,1578,14122,-20579,0,0,0,0,0,0,0,0
12678,1512755129,3207168,103195,1535,54414,0,-2,63,1444,14046,-20544,1,0,0,0,0,0,0,0
12678,1512755130,3207168,103198,1537,54433,0,-1,63,1446,13950,-20478,0,0,0,0,0,0,0,0
12678,1512755131,3212288,103195,1538,54505,0,-1,64,1406,14102,-20450,1,0,0,0,0,0,0,0
12678,1512755133,3216384,103195,1538,54505,1,-2,62,1494,14068,-20453,0,0,0,0,0,0,0,0
12678,1512755133,3216384,103204,1545,54581,0,-2,63,1498,13926,-20193,0,0,0,0,0,0,0,0
12678,1512755134,3216384,103204,1549,54543,0,-2,62,1490,13944,-19978,0,0,0,0,0,0,0,0
12678,1512755135,3223552,103202,1551,54490,0,-2,63,1516,13896,-19988,0,0,0,0,0,0,0,0
12678,1512755136,3226624,103199,1552,54418,0,-2,63,1510,13820,-19979,0,0,0,0,0,0,0,0
12678,1512755137,3228672,103197,1553,54384,0,-2,63,1450,13878,-20003,0,0,0,0,0,0,0,0
12678,1512755138,3232768,103197,1553,54354,0,-2,63,1436,13872,-19980,0,0,0,0,0,0,0,0
12678,1512755139,3234816,103199,1553,54324,0,-2,63,1456,13928,-20001,0,0,0,0,0,0,0,0
12678,1512755140,3237888,103205,1555,54278,0,-2,63,1428,13920,-19923,0,0,0,0,0,0,0,0
12678,1512755141,3218432,103205,1553,54252,0,-2,63,1452,13842,-19969,0,0,0,0,0,0,0,0
12678,1512755142,1443328,103186,1552,54297,0,-2,63,1450,13786,-19974,1,0,0,0,1,0,0,0
12678,1512755143,1443328,103193,1541,54335,0,-2,63,1464,13800,-20109,1,0,0,0,1,0,0,0
12678,1512755145,1427968,103192,1537,54361,0,-2,63,1454,13796,-20023,0,0,0,0,1,0,0,0
12678,1512755145,1430016,103192,1532,54384,0,-2,63,1420,13822,-20063,1,0,0,0,1,0,0,0
12678,1512755146,1415680,103191,1529,54422,0,-2,63,1456,13884,-19983,1,0,0,0,1,0,0,0
12678,1512755147,1279488,103186,1526,54441,0,-2,63,1430,13970,-20067,1,0,0,0,0,0,0,0
12678,1512755148,3226624,103197,1531,54396,0,-2,63,1506,13866,-20075,0,0,0,0,0,0,0,0
12678,1512755149,3253248,103195,1533,54380,0,-2,63,1474,13884,-20040,0,0,0,0,0,0,0,0
12678,1512755150,3257344,103195,1534,54384,0,-2,63,1434,13886,-20072,1,0,0,0,0,0,0,0
12678,1512755151,3254272,103200,1534,54399,0,-2,63,1490,13896,-20074,1,0,0,0,0,0,0,0
12678,1512755152,3258368,103200,1534,54407,0,-2,63,1398,13886,-20071,0,0,0,0,0,0,0,0
12678,1512755153,3258368,103202,1532,54407,0,-2,63,1460,13900,-19955,0,0,0,0,0,0,0,0
12678,1512755154,3264512,103197,1533,54411,0,-2,63,1560,13850,-20089,0,0,0,0,0,0,0,0
12678,1512755155,3263488,103202,1532,54388,0,-2,63,1522,13934,-20046,0,0,0,0,0,0,0,0
12678,1512755156,3260416,103200,1533,54380,1,-2,63,1520,13970,-20249,0,0,0,0,0,0,0,0
12678,1512755157,3255296,103200,1534,54361,0,-2,63,1484,13862,-20154,0,0,0,0,0,0,0,0
12678,1512755158,3156992,103200,1534,54361,0,-2,63,1496,13854,-20015,1,0,0,0,0,0,1,0
12678,1512755159,1368064,103192,1533,54361,0,-2,63,1496,13854,-20015,1,0,0,0,0,0,1,0
12678,1512755160,1360896,103186,1525,54388,0,-2,63,1502,13856,-20120,0,0,0,0,0,0,1,0
12678,1512755161,1287168,103193,1519,54437,0,-2,63,1434,13856,-20036,1,0,0,0,0,0,0,0
12678,1512755162,1287168,103193,1517,54456,0,-2,63,1522,13782,-19979,1,0,0,0,0,0,0,0
12678,1512755163,3264512,103207,1521,54422,0,-2,63,1448,13920,-19913,0,0,0,0,0,0,0,0
12678,1512755164,3266560,103201,1522,54445,0,-2,63,1522,13934,-20035,0,0,0,0,0,0,0,0
12678,1512755165,3263488,103204,1521,54456,0,-2,63,1450,13952,-20030,1,0,0,0,0,0,0,0
12678,1512755166,3264512,103199,1522,54433,0,-2,63,1466,13980,-20038,1,0,0,0,0,0,0,0
12678,1512755167,3266560,103196,1526,54430,0,-2,63,1448,13954,-19911,0,0,0,0,0,0,0,0
12678,1512755169,3270656,103196,1524,54449,0,-2,63,1494,13870,-20023,0,0,0,0,0,0,0,0
12678,1512755169,3274752,103194,1524,54501,0,-2,63,1530,13930,-20093,0,0,0,0,0,0,0,0
12678,1512755170,3269632,103204,1524,54554,0,-2,63,1532,13924,-19951,0,0,0,0,0,0,0,0
12678,1512755171,3269632,103199,1525,54566,0,-2,63,1442,13902,-19966,0,0,0,0,0,0,0,0
12678,1512755173,1403392,103193,1521,54596,1,-2,63,1442,13902,-19966,1,0,0,0,0,0,0,1
12678,1512755174,1325056,103200,1512,54626,0,-2,63,1408,13864,-20030,0,0,0,0,0,0,0,1
12678,1512755175,1324032,103197,1507,54657,0,-2,63,1400,13908,-20150,1,0,0,0,0,0,0,0
12678,1512755176,1241088,103191,1500,54649,0,-2,63,1464,13952,-20176,1,0,0,0,0,0,0,0
12678,1512755177,3235840,103199,1504,54611,0,-2,63,1448,13934,-19958,0,0,0,0,0,0,0,0
12678,1512755178,3282944,103200,1509,54585,0,-2,63,1518,13892,-19949,1,0,0,0,0,0,0,0
12678,1512755179,3283968,103200,1509,54566,0,-2,63,1418,13892,-19946,0,0,0,0,0,0,0,0
12678,1512755180,3287039,103200,1510,54551,0,-2,63,1474,13940,-20129,1,0,0,0,0,0,0,0
12678,1512755181,3287039,103203,1510,54524,1,-2,63,1486,13986,-19978,1,0,0,0,0,0,0,0
12678,1512755182,3289088,103200,1511,54528,0,-2,63,1494,13966,-19988,0,0,0,0,0,0,0,0
12678,1512755183,3292160,103201,1514,54536,0,-2,63,1460,13918,-20021,0,0,0,0,0,0,0,0
12678,1512755184,3297280,103203,1514,54581,0,-2,63,1478,13916,-19975,0,0,0,0,0,0,0,0
12678,1512755185,3274752,103198,1515,54626,0,-2,63,1496,13934,-20181,0,0,0,0,0,1,0,0
12678,1512755186,1367552,103198,1515,54626,0,-2,63,1438,13934,-20078,0,0,0,0,0,1,0,0
12678,1512755187,1348096,103197,1505,54660,0,-2,63,1516,13866,-20102,1,0,0,0,0,1,0,0
12678,1512755188,1346560,103188,1499,54702,0,-2,63,1512,13896,-20037,0,0,0,0,0,1,0,0
12678,1512755189,1288192,103195,1493,54710,0,-2,63,1498,13862,-20061,1,0,0,0,0,0,0,0
12678,1512755190,1288192,103195,1491,54755,0,-2,63,1446,13814,-19945,1,0,0,0,0,0,0,0
12678,1512755191,3121152,103197,1485,54755,0,-2,63,1466,13966,-19996,0,0,0,0,0,0,0,0
12678,1512755192,3309568,103198,1494,54740,0,-2,63,1458,13888,-20098,0,0,0,0,0,0,0,0
12678,1512755193,3299328,103199,1497,54740,0,-2,63,1424,13912,-20113,1,0,0,0,0,0,0,0
12678,1512755195,3307520,103196,1497,54710,0,-2,63,1476,13976,-20173,1,0,0,0,0,0,0,0
12678,1512755195,3308544,103199,1497,54691,0,-2,63,1454,13962,-19962,0,0,0,0,0,0,0,0
12678,1512755196,3310592,103202,1499,54683,0,-2,63,1454,13916,-20074,0,0,0,0,0,0,0,0
12678,1512755197,3310592,103199,1497,54687,0,-2,63,1506,13976,-20073,0,0,0,0,0,0,0,0
12678,1512755198,3291136,103199,1500,54676,0,-2,63,1524,13936,-20148,0,0,0,0,0,0,0,0
12678,1512755199,3163136,103204,1502,54664,0,-2,63,1428,13884,-20150,0,1,0,0,0,0,0,0
12678,1512755200,3145728,103194,1502,54649,0,-2,63,1488,13880,-19976,0,1,0,0,0,0,0,0
12678,1512755201,3148800,103199,1503,54638,1,-2,63,1506,13894,-19967,0,1,0,0,0,0,0,0
12678,1512755202,3154944,103199,1503,54623,0,-2,63,1420,13902,-20048,0,1,0,0,0,0,0,0
12678,1512755203,3154944,103199,1503,54623,0,-2,63,1422,13910,-20108,0,1,0,0,0,0,0,0
12678,1512755204,3151872,103202,1504,54600,0,-2,63,1462,13802,-20010,0,1,0,0,0,0,0,0
12678,1512755205,3171328,103200,1506,54589,0,-2,63,1452,13880,-20040,0,1,0,0,0,0,0,0
12678,1512755206,3167232,103197,1504,54691,0,-2,63,1516,13920,-20184,1,1,0,0,0,0,0,0
12678,1512755207,1386496,103197,1504,54691,0,-2,63,1432,13842,-20039,1,0,0,0,0,0,0,0
12678,1512755208,1354240,103190,1493,54831,0,-2,63,1444,13940,-20012,0,0,0,0,0,0,0,0
12678,1512755209,3340288,103206,1491,54857,0,-2,63,1468,13914,-20145,1,0,0,0,0,0,0,0
12678,1512755210,3353600,103193,1497,54838,0,-2,63,1472,13942,-19998,0,0,0,0,0,0,0,0
12678,1512755211,3355648,103207,1499,54831,0,-2,63,1488,13980,-19997,1,0,0,0,0,0,0,0
12678,1512755212,3355648,103202,1500,54827,0,-2,63,1484,13998,-19971,1,0,0,0,0,0,0,0
12678,1512755213,3360768,103199,1503,54872,0,-2,63,1484,13998,-19971,0,0,0,0,0,0,0,0
12678,1512755214,3364864,103194,1503,54975,0,-2,63,1408,13978,-19995,0,0,0,0,0,0,0,0
12678,1512755215,3372032,103202,1506,55028,0,-2,63,1428,13900,-20043,0,0,0,0,0,0,0,0
12678,1512755216,3377152,103205,1506,54956,0,-2,63,1502,13954,-20047,0,0,0,0,0,0,0,0
12678,1512755217,3382272,103202,1506,54891,1,-2,63,1454,13984,-20036,0,0,0,0,0,0,0,0
9474,1512755218,2605056,103157,1502,59635,-1,1,63,9160,10282,-15914,0,0,0,0,0,0,0,0
12678,1512755218,3383296,103197,1507,54831,0,-2,63,1454,13912,-20057,0,0,0,0,0,0,0,0
9474,1512755219,2820096,103157,1565,58849,-1,1,62,9186,10296,-15855,0,0,1,0,0,0,0,0
12678,1512755219,2435072,103200,1508,54778,0,-2,63,1468,13948,-20054,1,0,1,0,0,0,0,0
9474,1512755220,2842624,103155,1565,58840,-1,1,63,9254,10330,-15823,1,0,1,0,0,0,0,0
