time,bkgd_a,bkgd_b,bkgd_c
1517795580,18.3,61,99327.4167599714
1517799180,17.2,67,99357.3116941543
1517802780,14.4,84,99333.7216151795
1517806380,13.3,97,99334.0853185812
1517809980,13.3,90,99363.3528746562
1517813580,12.2,90,99353.8854943349
1517817180,11.7,93,99349.5582681438
1517820780,10,96,99295.7206475005
1517824380,10.6,96,99261.9568980158
1517827980,8.9,100,99217.7728387525
1517831580,8.9,100,99227.5249296547
1517835180,10,96,99217.6963114648
1517838780,8.9,96,99256.7812023612
1517842380,8.3,97,99241.7179673794
1517845980,9.4,97,99261.1905741329
1517849580,13.3,80,99304.8177625062
1517853180,14.4,81,99314.2080660949
1517856780,15.6,72,99314.6136641336
1517860380,16.7,67,99304.3387931919
1517863980,20,57,99234.0361038751
1517867580,21.1,51,99106.325002801
1517871180,21.1,42,99067.2760173783
1517874780,18.3,65,99015.0970845936
1517878380,18.9,61,99049.320490411
1517881980,14.4,84,99031.2616043681
1517885580,13.9,87,99066.0396559631
1517889180,13.3,90,99070.6773139061
1517892780,11.7,93,99095.9413300023
1517896380,11.1,97,99110.2500921154
1517899980,12.8,86,99154.194399753
1517903580,12.2,90,99178.296889632
1517907180,10,100,99159.178059438
1517910780,8.9,100,99139.7561115351
1517914380,8.3,100,99124.6991390795
1517917980,8.3,97,99134.4507081045
1517921580,8.9,96,99159.2602933394
1517925180,9.4,100,99173.4178569815
1517928780,11.1,83,99227.2979221622
1517932380,12.8,69,99320.0367162422
1517935980,15,67,99377.8438517575
1517939580,16.7,52,99431.2016473891
1517943180,18.3,40,99483.5765976602
1517946780,19.4,33,99463.3817383868
1517950380,20.6,27,99395.1213296132
1517953980,18.9,47,99312.85336913
1517957580,21.1,30,99291.8076835588
1517961180,20,36,99282.842928636
1517964780,18.9,38,99283.5719381612
1517968380,18.9,32,99332.3743231092
1517971980,17.8,38,99391.5871048732
1517975580,15.6,51,99441.4647132232
1517979180,15.6,51,99490.2535782576
1517982780,11.7,66,99495.8757324563
1517986380,11.7,66,99525.1392253188
1517989980,11.1,63,99549.1794547908
1517993580,10.6,65,99554.5636295614
1517997180,10.6,58,99593.5778604342
1518000780,11.7,74,99612.9297039062
1518004380,11.1,77,99646.7193131632
1518007980,10.6,79,99710.6205530525
1518011580,11.7,59,99749.4926705978
1518015180,11.7,56,99788.5106610812
1518018780,13.3,60,99851.1454759064
1518022380,16.7,46,99948.4117452703
1518025980,18.3,42,99981.3360802935
1518029580,17.2,54,99991.6526488856
1518033180,16.7,62,99967.9291074546
1518036780,17.8,48,99908.844971778
1518040380,18.9,50,99859.4400805474
1518043980,21.1,47,99818.9689867652
1518047580,20.6,55,99824.6425767653
1518051180,21.7,47,99862.9077093644
1518054780,18.3,58,99854.4562121712
1518058380,17.2,63,99874.5435495506
1518061980,16.7,70,99899.6183398098
1518065580,16.1,70,99884.7982282733
1518069180,15,72,99894.9794162291
1518072780,13.9,81,99895.3299229275
1518076380,12.2,86,99890.4062309268
1518079980,12.2,86,99851.3865409928
1518083580,9.4,100,99826.8369735532
1518087180,10,93,99812.6318737374
1518090780,10,93,99793.1257897285
1518094380,9.4,97,99807.3319252973
1518097980,9.4,93,99817.0844494252
1518101580,8.3,97,99817.0605398542
1518105180,9.4,93,99865.8470700649
1518108780,13.3,84,99919.4364400814
1518112380,15,75,99924.2512406331
1518115980,15.6,69,99890.3222715401
1518119580,15.6,72,99822.0178604919
1518123180,17.8,63,99723.4129062838
1518126780,20,53,99624.4907019624
1518130380,20,53,99556.1611472971
1518133980,21.1,42,99535.8638424506
1518137580,20.6,42,99492.739794875
1518141180,17.8,60,99450.1445992398
1518144780,16.1,64,99435.9216438164
1518148380,15,78,99455.9020501683
1518151980,15.6,67,99490.2535782576
1518155580,13.3,87,99490.1789509812
1518159180,11.7,83,99486.1212348355
1518162780,10.6,92,99466.7816100978
1518166380,11.1,83,99441.8856105813
1518169980,10,89,99412.7571515542
1518173580,10,89,99393.2510675453
1518177180,9.4,86,99348.9632912843
1518180780,10,86,99324.9797735139
1518184380,8.3,93,99329.4820886044
1518187980,8.3,100,99368.4883647044
1518191580,9.4,93,99407.4784360519
1518195180,13.3,77,99470.6672469312
1518198780,14.4,75,99441.0461351448
1518202380,16.1,72,99465.1962036723
1518205980,17.2,60,99386.588968988
1518209580,19.4,61,99287.6858727056
1518213180,21.7,47,99218.5679001145
1518216780,21.1,42,99174.6607272907
1518220380,21.1,44,99125.8494955123
1518223980,19.4,51,99082.7073627443
1518227580,16.7,65,99050.6130847973
1518231180,14.4,81,99041.0183789104
1518234780,13.9,87,99056.2832998812
1518238380,13.9,87,99046.5269437992
1518241980,11.1,97,99051.726177092
1518245580,12.2,93,99041.7279748632
1518249180,12.8,89,99037.1292351725
1518252780,12.2,90,99041.7279748632
1518256380,11.1,97,99022.4642195803
1518259980,10.6,96,99018.117955061
1518263580,9.4,100,98978.3673744228
1518267180,8.3,100,98978.4256037046
1518270780,8.9,96,98973.9705661981
1518274380,8.3,100,98997.9287417546
1518277980,8.3,100,99066.1897249295
1518281580,12.8,86,99124.9281086079
1518285180,13.9,77,99114.8214363728
1518288780,15.6,69,99090.1848849751
1518292380,17.2,52,99064.5389458167
1518295980,17.8,46,98962.1654795183
1518299580,18.9,45,98893.1528585774
1518303180,18.9,50,98834.5899966399
1518306780,19.4,37,98828.9244456493
1518310380,20,10,98872.8656006444
1518313980,17.8,16,98903.6079851517
1518317580,17.2,17,98927.9116632592
1518321180,16.1,21,98850.4304466988
1518324780,15.6,25,98885.2716518304
1518328380,15,22,98889.98011169
1518331980,14.4,24,98933.6938589451
1518335580,13.3,34,98973.1187936561
1518339180,10.6,36,99008.3643973428
1518342780,10.6,38,99037.6250704974
1518346380,6.1,60,98997.8093425067
1518349980,8.3,53,98997.9287417546
1518353580,5,55,98890.3965637198
1518357180,5.6,59,98944.5610611014
1518360780,5,60,98870.8992457854
1518364380,6.1,65,98988.059705975
1518367980,11.1,48,99022.4642195803
1518371580,12.2,53,99031.9730523797
1518375180,12.8,77,99017.618374409
1518378780,12.2,80,99002.7082849293
1518382380,12.8,77,98763.9771844844
1518385860,12,77,98756.5287424215
1518385980,12.2,77,98749.0803003586
1518389580,12.8,64,98656.6674502856
1518390180,13.3,62,98627.4011591404
1518393180,12.8,69,98598.1348679953
1518396780,12.2,74,98583.2466181392
1518400380,11.7,74,98539.934965615
1518403980,11.1,80,98515.2569560442
1518407580,10.6,83,98608.4685308971
1518411180,9.4,83,98646.7815540729
1518414780,10,77,98652.0198752056
1518418380,9.4,77,98646.7815540729
1518421980,8.9,77,98661.9036573284
1518425580,8.9,77,98671.6557482306
1518429180,5.6,92,98613.0884947325
1518432780,6.1,89,98617.5735177718
1518436380,8.9,63,98603.3911119153
1518439980,5.6,82,98583.8409153471
1518443580,5.6,82,98613.0884947325
1518447180,5.6,82,98642.336074118
1518450780,5,89,98685.6747254077
1518454380,10,68,98769.0563792592
1518457980,10.6,68,98784.0325698245
1518461580,12.2,61,98797.854912776
1518465180,12.8,59,98763.9771844844
1518468780,13.9,45,98734.3235491773
1518472380,14.4,44,98689.7744953876
1518475980,15,41,98704.5918904643
1518479580,14.4,49,98728.8015935568
1518483180,13.3,51,98748.734197081
1518486780,12.2,59,98807.6098352595
1518490380,11.1,71,98876.1544320218
1518493980,11.1,69,98924.924361208
1518497580,10,71,98934.8580933352
1518501180,10,63,98964.1172193486
1518504780,9.4,54,98997.8724226786
1518508380,10.6,38,99057.1321859338
1518511980,10,39,99110.4128494156
1518515580,10.6,33,99144.9142053975
1518519180,8.9,40,99208.0207478503
1518522780,9.4,37,99261.1905741329
1518526380,8.3,42,99309.9789505544
1518529980,7.8,43,99393.29302259
1518533580,6.1,53,99475.5415325582
1518537180,7.2,53,99563.4431929193
1518540780,11.1,38,99675.9812706748
1518544380,12.8,32,99739.520222656
1518547980,12.8,41,99739.520222656
1518551580,13.3,40,99704.8076955313
1518555180,14.4,37,99655.6951750755
1518558780,14.4,39,99606.911302364
1518562380,14.4,40,99606.911302364
1518565980,15,39,99592.5038973872
1518569580,15.6,40,99617.1046273472
1518573180,13.3,60,99597.4933232563
1518576780,13.3,42,99626.7608793313
1518580380,10.6,71,99632.592091307
1518583980,11.1,52,99656.4732990004
1518587580,9.4,59,99680.5491116341
1518591180,7.8,65,99685.8269959716
1518594780,8.3,58,99709.7932805792
1518598380,6.7,70,99714.9533116843
1518601980,7.2,63,99680.4504711795
1518605580,4.4,79,99655.0565830767
1518609180,5,76,99592.3000093614
1518612780,4.4,79,99596.5678479208
1518616380,5,73,99592.3000093614
1518619980,5,76,99611.7973272959
1518623580,5.6,79,99685.4997388671
1518627180,9.4,61,99787.8268770415
1518630780,11.1,66,99822.2910582333
1518634380,11.1,71,99812.5370723961
1518637980,12.2,66,99773.3471611249
1518641580,13.9,53,99729.4718695346
1518645180,13.9,57,99641.6646647972
1518648780,15,47,99651.0475461953
1518652380,13.9,64,99602.6392404695
1518655980,12.2,74,99588.0036339386
1518659580,11.1,71,99568.6874264653
1518663180,10.6,71,99622.8385335888
1518665100,10.6,71,99632.592091307
